City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-04-05 00:33:23,-38.0023,-57.5575,60.87,74,0,0.0
1,Hermanus,ZA,2022-04-05 00:36:34,-34.4187,19.2345,61.81,81,4,11.74
2,Hilo,US,2022-04-05 00:36:34,19.7297,-155.09,77.25,83,75,3.0
3,Cayenne,GF,2022-04-05 00:36:35,4.9333,-52.3333,81.09,1,100,3.44
4,Albany,US,2022-04-05 00:32:37,42.6001,-73.9662,43.75,64,100,7.0
5,Airai,TL,2022-04-05 00:36:35,-8.9266,125.4092,71.33,55,27,0.49
6,Saldanha,ZA,2022-04-05 00:36:32,-33.0117,17.9442,59.05,87,8,8.21
7,Mount Gambier,AU,2022-04-05 00:36:36,-37.8333,140.7667,55.31,88,40,5.75
8,Barrow,US,2022-04-05 00:36:36,71.2906,-156.7887,-5.78,71,100,16.11
9,Punta Arenas,CL,2022-04-05 00:36:36,-53.15,-70.9167,39.31,75,75,19.57
10,Severo-Yeniseyskiy,RU,2022-04-05 00:36:37,60.3725,93.0408,22.8,91,100,6.73
11,Mataura,NZ,2022-04-05 00:36:37,-46.1927,168.8643,66.61,60,100,2.75
12,Saint-Philippe,RE,2022-04-05 00:36:37,-21.3585,55.7679,75.22,87,62,11.52
13,Ushuaia,AR,2022-04-05 00:34:40,-54.8,-68.3,37.06,70,40,18.41
14,Rikitea,PF,2022-04-05 00:36:38,-23.1203,-134.9692,78.24,64,69,11.56
15,Pietersburg,ZA,2022-04-05 00:36:38,-23.9045,29.4688,59.85,88,2,1.14
16,Lavrentiya,RU,2022-04-05 00:36:38,65.5833,-171.0,1.2,79,13,11.95
17,Mabaruma,GY,2022-04-05 00:36:39,8.2,-59.7833,74.73,89,29,4.41
18,Broken Hill,AU,2022-04-05 00:32:09,-31.95,141.4333,73.11,33,0,5.75
19,Castro,BR,2022-04-05 00:36:13,-24.7911,-50.0119,63.79,97,100,2.59
20,Husavik,IS,2022-04-05 00:36:39,66.0449,-17.3389,22.68,92,100,6.42
21,Kisangani,CD,2022-04-05 00:36:39,0.5167,25.2,70.09,94,85,1.23
