City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Clyde River,CA,70.4692,-68.5914,5.11,92,86,2.17,overcast clouds
1,Ndele,CF,8.4109,20.6473,81.55,42,90,3.49,overcast clouds
2,Rorvik,NO,64.8621,11.2373,33.91,75,75,20.71,broken clouds
3,Okhotsk,RU,59.3833,143.3,15.21,93,93,6.8,overcast clouds
4,Louis Trichardt,ZA,-23.0439,29.9032,61.3,92,94,13.91,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,59.43,70,43,16.4,scattered clouds
6,Punta Arenas,CL,-53.15,-70.9167,48.22,76,0,10.36,clear sky
7,Banda Aceh,ID,5.5577,95.3222,79.5,79,77,4.18,broken clouds
8,Narsaq,GL,60.9167,-46.05,35.82,78,43,3.8,scattered clouds
9,Luderitz,NA,-26.6481,15.1594,63.64,62,0,12.64,clear sky
10,Salalah,OM,17.0151,54.0924,80.69,83,0,2.3,clear sky
11,Flin Flon,CA,54.7682,-101.865,41.61,66,100,12.84,overcast clouds
12,Mus,TR,39.0,41.75,36.39,100,100,2.01,overcast clouds
13,East London,ZA,-33.0153,27.9116,62.22,77,100,8.25,light rain
14,Alugan,PH,12.2188,125.4808,75.85,83,100,13.47,heavy intensity rain
15,Port Alfred,ZA,-33.5906,26.891,58.17,93,98,11.52,light rain
16,Guozhen,CN,34.3659,107.359,61.88,62,0,4.56,clear sky
17,Oistins,BB,13.0667,-59.5333,82.49,61,20,17.27,few clouds
18,Hilo,US,19.7297,-155.09,76.24,89,100,8.05,light rain
19,Pyapon,MM,16.2833,95.6833,79.86,77,16,4.52,few clouds
20,Faya,SA,18.3851,42.4509,61.32,42,0,2.21,clear sky
21,Tawang,IN,27.5833,91.8667,44.24,88,88,1.25,overcast clouds
22,Busselton,AU,-33.65,115.3333,55.56,79,30,9.26,scattered clouds
23,Libiaz,PL,50.104,19.3157,44.74,88,100,2.42,overcast clouds
24,Manokwari,ID,-0.8667,134.0833,79.14,82,100,5.03,light rain
25,Puerto Ayora,EC,-0.7393,-90.3518,84.16,77,55,9.84,broken clouds
26,Avarua,CK,-21.2078,-159.775,84.25,79,44,10.36,scattered clouds
27,Mataura,NZ,-46.1927,168.8643,50.97,70,86,4.45,overcast clouds
28,Davila,PH,18.4726,120.5763,77.54,86,100,16.42,overcast clouds
29,Tasiilaq,GL,65.6145,-37.6368,19.56,94,100,10.22,light snow
30,Srednekolymsk,RU,67.45,153.6833,-14.22,96,36,10.49,scattered clouds
31,Areia Branca,BR,-4.9561,-37.1369,81.03,79,55,11.23,broken clouds
